symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
USHAMART,USHAMARTEQN,285.2,293.35,274.05,279.5,283.25,-3.75,-1.32,374,125.5,724138,203938984.94,25-Oct-2023 15:54:28,105.85,-13.09
CASTROLIND,CASTROLINDEQN,138.7,138.9,134.3,136.1,137.95,-1.85,-1.34,162,107.4,1322270,179762606.49999997,25-Oct-2023 15:59:04,11.88,-1.43
VIJAYA,VIJAYAEQN,554.9,558.9,546,547,554.9,-7.9,-1.42,593.8,349.25,76266,42111034.559999995,25-Oct-2023 15:52:46,17.07,21.8
VAIBHAVGBL,VAIBHAVGBLEQN,414.7,433.8,402.35,408.5,414.7,-6.2,-1.5,470,268.7,353654,147091771.68,25-Oct-2023 15:59:58,19.06,-5.85
PRSMJOHNSN,PRSMJOHNSNEQN,123,124.3,120,121,122.85,-1.85,-1.51,145.5,98,411114,50040796.08,25-Oct-2023 15:54:21,-0.28,-4.02
ACI,ACIEQN,607,618.2,582.55,594.9,604,-9.1,-1.51,731.8,440.2,223879,133396063.36000001,25-Oct-2023 15:59:16,-,3.12
GESHIP,GESHIPEQN,835.8,842.8,805.2,816,828.6,-12.6,-1.52,919.95,505.55,221621,182323164.28,25-Oct-2023 15:59:24,62.38,2.15
INDIACEM,INDIACEMEQN,211,213.7,205.2,206.5,209.7,-3.2,-1.53,266.9,167.2,2513847,527279408.25,25-Oct-2023 15:59:58,-11.22,-10.19
EPIGRAL,EPIGRALEQN,915,927.9,890,899.5,913.45,-13.95,-1.53,1479.75,815,42763,38597456.17,25-Oct-2023 15:58:09,-,-
KIRLFER,KIRLFEREQN,469.9,477.95,446.3,460.05,467.2,-7.15,-1.53,534,257.1,220635,100969195.05,25-Oct-2023 15:51:11,73.84,0.96
UJJIVANSFB,UJJIVANSFBEQN,54.2,55.95,52.4,53.1,53.95,-0.85,-1.58,61.4,22.75,16022657,863140532.5899999,25-Oct-2023 15:59:34,118.42,9.65
NCC,NCCEQN,148,150.3,137.15,142.35,144.85,-2.5,-1.73,176.6,71.1,7889874,1134879476.16,25-Oct-2023 15:59:10,100.76,-3.63
SOBHA,SOBHAEQN,723.7,728.95,696.15,706.95,719.7,-12.75,-1.77,786,412.1,453870,321907297.5,25-Oct-2023 15:48:18,14.37,10.88
FIVESTAR,FIVESTAREQN,743,750.9,718.4,719.95,733.05,-13.1,-1.79,876.55,448.2,243689,178602104.98999998,25-Oct-2023 15:58:04,-,5.16
SPARC,SPARCEQN,224.1,227.1,215.3,218.3,222.3,-4,-1.8,265.85,162.1,423891,94086846.36,25-Oct-2023 15:50:30,-3.56,-1.33
